distance,enemyVel
200.01004,1.9398651
200.01039,1.9398804
200.01076,1.9398804
200.01108,1.9398956
200.01143,1.9398956
200.01178,1.9399109
200.01219,1.9399109
200.01256,1.9399261
200.01292,1.9399414
200.01335,1.9399414
200.0137,1.9399567
200.01414,1.9399567
200.01453,1.9399719
200.01495,1.9399872
200.01538,1.9399872
200.01578,1.9400024
200.0162,1.9400177
200.01665,1.9400177
200.01704,1.940033
200.0177,1.9400482
200.01791,1.9400482
200.01836,1.9400635
200.01883,1.9400635
200.01932,1.9400787
200.01978,1.940094
200.02025,1.940094
200.02074,1.9401093
200.02122,1.9401245
200.02171,1.9401245
200.0222,1.940155
200.02274,1.940155
200.02321,1.940155
200.02373,1.9401855
200.02426,1.9401855
200.02489,1.9401855
200.02553,1.9402161
200.02586,1.9402161
200.02637,1.9402161
200.02692,1.9402466
200.02747,1.9402466
198.05312,1.9150391
196.08257,1.8898926
194.1116,1.8647461
192.14204,1.8395996
190.17192,1.8144531
188.20222,1.7893372
186.23468,1.7642212
184.26361,1.7390747
182.2963,1.7139893
180.3282,1.6868896
178.36537,1.6581421
176.40639,1.6294556
174.44673,1.600769
172.49069,1.5721436
170.53583,1.5435181
168.58023,1.5148926
166.63312,1.4863892
164.68633,1.4579163
162.74236,1.4294434
160.80377,1.4010925
158.87202,1.3728333
156.9434,1.3446045
154.98607,1.315979
153.10602,1.2884827
151.19234,1.260498
149.29396,1.232727
147.40103,1.2050476
147.47763,1.2062683
147.55754,1.2075195
147.64117,1.2088318
147.72882,1.2102356
147.82008,1.2116394
147.9161,1.2131653
148.01418,1.2146912
148.11629,1.2162781
148.2223,1.217926
148.33154,1.2196045
148.44441,1.2213745
148.56061,1.223175
148.68008,1.2250061
148.80295,1.2268982
150.86871,1.2573242
152.93057,1.2876587
154.99066,1.3179932
157.0437,1.3482056
159.09169,1.3783569
161.13364,1.4083862
163.17258,1.438385
165.20401,1.4682922
167.22852,1.4980774
169.24985,1.5278015
171.26938,1.5574951
173.2795,1.5870667
175.28499,1.6165466
177.29103,1.6460266
179.27988,1.6752625
181.2711,1.7042542
183.2573,1.7296753
185.238,1.7550049
187.2139,1.7802734
189.18547,1.805481
191.15604,1.8306885
193.11713,1.8557434
195.07549,1.8807678
197.03564,1.9058228
198.98444,1.9307251
200.93141,1.9555969
202.87468,1.9804382
204.83029,2.0054321
206.75307,2.0299683
208.76106,2.0556335
211.12143,2.0858154
212.56543,2.104187
214.56473,2.1297302
217.11815,2.162384
218.42537,2.1789856
220.2246,2.2019348
222.1393,2.2263489
224.0502,2.2507324
225.97763,2.2753296
228.09029,2.3022766
230.11447,2.328125
232.01982,2.352417
233.98514,2.377472
235.81688,2.4007874
237.87003,2.4269714
240.46104,2.4601135
241.7747,2.4767456
243.79546,2.5025024
245.38472,2.522705
247.27542,2.546753
249.19449,2.5711975
251.14496,2.5960388
253.3984,2.6247864
255.14192,2.645691
257.7203,2.6761475
259.0406,2.6916199
260.92908,2.7138367
262.94052,2.7375183
264.83368,2.7597961
266.69836,2.7817383
268.73264,2.8056946
270.6847,2.8286743
272.48575,2.849823
274.5407,2.8740234
276.45404,2.896515
278.3386,2.9186707
280.35913,2.9424438
282.33063,2.9656067
284.15842,2.987091
286.1766,3.0108032
288.18848,3.0344543
290.64978,3.0634766
292.1628,3.0811768
293.94006,3.1020203
295.7923,3.1237488
297.74597,3.146698
299.885,3.1718445
302.02698,3.196991
303.97174,3.2198486
306.01355,3.2438354
309.93192,3.2902222
309.9304,3.2901
309.93192,3.2902222
309.9305,3.2901
309.93268,3.2902222
309.93024,3.290039
309.93094,3.2901611
309.93228,3.2902222
309.9308,3.2901
309.93378,3.2902832
309.9303,3.2901
309.93176,3.2901611
309.93433,3.2902832
309.93036,3.2901
309.93173,3.2901611
309.93478,3.2903442
309.9305,3.2901
309.93326,3.2902832
309.93085,3.2901611
309.9332,3.2902832
309.93024,3.290039
309.93118,3.2901611
309.93375,3.2902832
309.9303,3.2901
309.9315,3.2901611
309.9342,3.2902832
309.93036,3.2901
309.932,3.2902222
309.9344,3.2902832
309.93042,3.2901
309.9321,3.2902222
309.93073,3.2901
311.9851,3.3145142
314.06638,3.3389282
317.9845,3.385315
321.9628,3.432373
325.73486,3.4769897
331.70935,3.5474854
335.85156,3.5964966
345.92575,3.715393
349.96835,3.7631836
353.96133,3.8104248
357.97064,3.857788
361.92917,3.904602
366.5339,3.9591064
369.9633,3.9995728
373.9982,4.047241
377.94278,4.093811
381.91907,4.140808
385.99112,4.188904
389.95642,4.235718
209.91162,2.0662231
207.89233,2.0404358
205.88525,2.014801
203.8069,1.9882812
201.80081,1.962677
199.77432,1.9367981
197.82541,1.9119263
195.78165,1.8858337
193.77885,1.8602905
191.81322,1.8352051
189.75311,1.8089294
187.72987,1.7831116
185.76642,1.7580872
183.8229,1.7332764
181.8185,1.7077332
179.78464,1.6787415
177.76443,1.6491699
175.80148,1.6204224
173.2763,1.5834961
171.84705,1.5625305
169.86354,1.5335083
167.8468,1.5039978
165.91331,1.4756775
163.84412,1.4454346
161.92311,1.4172974
159.95195,1.3884888
158.05463,1.3607178
156.07268,1.3317261
154.10262,1.3029175
152.12958,1.2740479
150.2584,1.2467041
148.26967,1.2176208
146.07806,1.1855774
144.48514,1.162262
142.5489,1.1367798
140.22095,1.1063843
138.79059,1.0876465
136.96231,1.0637512
135.06244,1.0389099
133.24722,1.0151978
131.19586,0.9884033
129.64664,0.96813965
128.01836,0.9468384
126.25259,0.9237671
126.463,0.92663574
126.68958,0.929718
126.90263,0.9326172
127.13988,0.93582153
127.404015,0.9394226
127.66405,0.9429321
127.92661,0.9465027
128.21162,0.9503479
128.46358,0.95373535
128.74615,0.95755005
129.03926,0.96151733
127.44528,0.9406738
125.82984,0.91970825
124.307915,0.9032593
122.73976,0.8862915
121.30395,0.87072754
119.87121,0.8552246
118.42001,0.8395386
117.00067,0.82418823
115.55452,0.8085327
114.19886,0.7938843
112.88305,0.7796631
111.59766,0.7659912
110.35849,0.75427246
109.241806,0.7437134
108.092514,0.7328491
107.003586,0.7225342
105.97802,0.7128296
104.97465,0.7033081
104.034325,0.6945801
103.14412,0.68634033
102.31638,0.6786499
101.52238,0.6713257
100.8011,0.6646118
100.13114,0.65844727
99.51893,0.652771
98.959984,0.64764404
98.4637,0.6430664
98.028275,0.6390381
97.65412,0.6356201
97.33651,0.63275146
98.35932,0.642395
99.464455,0.65283203
100.42725,0.6619873
101.59018,0.67297363
102.472946,0.6812744
103.466606,0.6906738
104.53641,0.70080566
105.565735,0.71069336
106.562965,0.7202759
107.60132,0.73028564
107.0197,0.7246704
106.44429,0.7191162
105.87496,0.7136841
105.3117,0.70825195
104.75445,0.70288086
104.2031,0.69763184
103.657555,0.6925049
104.43896,0.69976807
105.15221,0.70648193
105.88466,0.71343994
106.71036,0.72125244
107.547485,0.729187
108.41358,0.73742676
109.6264,0.7489624
110.20127,0.75439453
111.16325,0.7635498
112.14311,0.7735596
113.17801,0.784729
114.07218,0.7944336
115.09783,0.805542
116.16123,0.81707764
117.27505,0.8291626
118.457375,0.84191895
119.61603,0.8544922
120.77007,0.8670044
121.934494,0.87957764
123.18232,0.89312744
124.42684,0.9066162
125.60073,0.9193115
126.84156,0.93530273
128.1432,0.95233154
129.4096,0.9688721
130.71143,0.9859009
132.12085,1.0043335
133.48622,1.0221558
134.77509,1.0390015
136.15396,1.0570068
137.5174,1.0748291
138.18402,1.083252
138.94794,1.0929565
139.75676,1.1032715
140.71347,1.1155396
141.69592,1.1281128
142.75984,1.1417236
143.91658,1.1566162
145.1969,1.1745605
146.5563,1.1941528
147.98392,1.2147217
149.49718,1.2365112
151.02936,1.258606
152.70561,1.2828369
154.44865,1.3079834
156.24608,1.3339233
158.15851,1.3615723
186.09395,1.762146
188.41273,1.7918701
190.10126,1.8134155
192.07373,1.838562
194.16722,1.8653564
196.16438,1.8908691
198.1485,1.9161987
200.10965,1.9412842
202.17108,1.9675903
204.18668,1.9933472
206.17564,2.0187378
206.17558,2.0187378
206.17596,2.0187378
206.17432,2.0186768
206.17398,2.0186768
206.1739,2.0186768
206.17397,2.0186768
206.173,2.0186768
206.17322,2.0186768
206.1737,2.0186768
206.17258,2.0186768
206.1724,2.0186768
206.17183,2.0186768
206.1719,2.0186768
206.1727,2.0186768
206.17177,2.0186768
206.1711,2.0186157
206.17146,2.0186157
206.17155,2.0186157
206.17003,2.0186157
206.1699,2.0186157
206.16965,2.0186157
206.17929,2.0187988
206.17166,2.0186768
206.16728,2.0185547
206.16692,2.0185547
206.167,2.0185547
206.16866,2.0185547
206.16806,2.0185547
206.16815,2.0185547
206.16791,2.0185547
206.16795,2.0185547
206.1676,2.0185547
206.16647,2.0185547
206.1675,2.0185547
206.16722,2.0185547
206.16689,2.0185547
206.16725,2.0185547
206.16643,2.0185547
206.16588,2.0184937
206.1658,2.0184937
203.47784,1.9842529
202.22964,1.9682617
200.26065,1.9431152
198.2491,1.9174194
196.28569,1.892395
194.28859,1.8668823
192.26819,1.8411255
190.28082,1.8157349
188.29123,1.7903442
186.20091,1.7637329
184.16539,1.7377319
182.21452,1.7128906
180.19838,1.6849365
178.31194,1.6572876
176.36877,1.6288452
174.42616,1.6003418
172.418,1.5709839
170.48071,1.5426025
168.50703,1.5137329
166.49452,1.4842529
164.5146,1.4553223
162.4305,1.4248047
160.46239,1.3960571
158.47073,1.3668823
156.40105,1.3366699
154.35773,1.3067627
152.66803,1.2820435
150.7344,1.2537231
148.76779,1.2249756
146.88084,1.1973877
144.97656,1.1695557
143.01535,1.1429443
141.17018,1.1188354
139.24553,1.093689
137.39624,1.069519
135.58821,1.0458984
133.72662,1.0215454
131.92198,0.99798584
130.08743,0.973999
128.3363,0.95111084
126.55816,0.92785645
124.81981,0.9077759
123.09821,0.88916016
121.39932,0.87072754
119.7194,0.8526001
118.04726,0.83447266
116.43974,0.81707764
114.875435,0.8001709
115.29618,0.8048706
115.58795,0.80810547
115.93438,0.8119507
116.32361,0.8162842
116.69464,0.82037354
117.112816,0.82507324
117.492775,0.82928467
117.89999,0.83380127
118.32886,0.838562
118.74193,0.84313965
119.18266,0.84802246
119.65259,0.85321045
120.32039,0.8605957
120.54753,0.86309814
121.025505,0.8684082
121.504,0.87371826
122.02489,0.87945557
122.38257,0.88342285
122.87426,0.888855
123.39074,0.8945923
123.86115,0.8997803
124.36987,0.9053955
124.85744,0.91082764
125.38941,0.916687
125.92592,0.92303467
126.55445,0.9314575
127.04207,0.93792725
127.62043,0.9456787
128.14856,0.95269775
130.25598,0.9805298
132.35107,1.0081787
133.69621,1.0257568
134.92398,1.0418091
136.2805,1.0595093
137.38608,1.0739136
138.54076,1.0889893
139.83601,1.105896
141.17967,1.1234741
142.4936,1.140625
143.07722,1.1479492
143.89764,1.1583862
144.61337,1.1682739
145.47748,1.180603
146.62907,1.1970825
147.3443,1.2072754
148.68736,1.2265625
149.5814,1.2393188
150.83882,1.2573853
152.1823,1.2767334
153.62646,1.2975464
155.13878,1.3192749
156.73778,1.3423462
158.38564,1.3660889
160.16333,1.3917236
161.98639,1.4180298
163.86267,1.4451294
107.81746,0.7269287
109.82499,0.74609375
111.85397,0.7655029
113.92884,0.7878418
116.08784,0.81140137
118.0252,0.83251953
120.12133,0.8554077
122.2164,0.8782959
124.32007,0.9012451
126.40545,0.9246826
128.51038,0.9524536
130.62143,0.9802246
132.72597,1.0079346
134.84207,1.0358276
136.90706,1.0629883
139.04251,1.0911255
141.15692,1.1189575
143.29936,1.1471558
145.5337,1.1785278
147.65562,1.2097168
149.71565,1.2400513
151.84322,1.2714233
154.4405,1.3096924
156.009,1.3327026
156.12704,1.3345337
156.33334,1.3377075
156.35445,1.3380737
156.43503,1.3392944
156.5507,1.3410645
156.67001,1.3428955
156.81512,1.3451538
156.93298,1.3469238
157.0765,1.3491211
157.20801,1.3511353
157.33885,1.3531494
157.46568,1.3551025
157.18823,1.3508301
156.9227,1.3468018
156.66902,1.3428955
156.42712,1.3391724
